"Category","Figure","Claim","Source","Sample","Date","Source URL"
"Demand","74%","of employers say AI competencies are a strong advantage or an outright requirement when hiring.","ZipRecruiter, 2026 AI Employer Report","n=1,000+ hiring professionals","Jun 2026","https://www.ziprecruiter-research.org/economic-insights-research/ai-employer-report-2026"
"Demand","50%","of employers expect candidates to already be practical or advanced AI users on arrival, not beginners.","ZipRecruiter, 2026 AI Employer Report","n=1,000+ hiring professionals","Jun 2026","https://www.ziprecruiter-research.org/economic-insights-research/ai-employer-report-2026"
"Demand","64%","of employers say AI is changing the specific skills they look for in applicants.","ZipRecruiter, 2026 AI Employer Report","n=1,000+ hiring professionals","Jun 2026","https://www.ziprecruiter-research.org/economic-insights-research/ai-employer-report-2026"
"Demand","13%","of employers now require AI skills across every role in the company, not just technical ones.","ZipRecruiter, 2026 AI Employer Report","n=1,000+ hiring professionals","Jun 2026","https://www.ziprecruiter-research.org/economic-insights-research/ai-employer-report-2026"
"Demand","275,000+","active US job postings referenced AI skills in January 2026, covering both dedicated AI roles and jobs requiring general AI fluency.","CompTIA, State of the Tech Workforce 2026","US job posting analysis","Jan 2026","https://www.comptia.org/en-us/about-us/news/press-releases/key-employment-metrics-market-insights-and-the-impact-of-ai-revealed-in-comptia-state-of-tech-workforce-2026-report/"
"Demand","51%","of job postings requiring AI skills sit outside IT and computer science occupations entirely.","Lightcast, Beyond the Buzz, via Joberney","1.3bn postings analysed","Jul 2025","https://joberney.com/blog/what-is-ai-fluency"
"Demand","19%","of employers name AI literacy among their most in-demand skills, second only to AI model and application development at 20%.","ManpowerGroup, 2026 Talent Shortage Survey","n=39,063 employers, 41 countries","Oct 2025","https://www.prnewswire.com/news-releases/global-talent-shortage-reaches-turning-point-as-ai-skills-claim-top-spot-302698509.html"
"Demand","45%","of job seekers now encounter generative AI requirements in the roles they want.","iCIMS Insights","n=1,000 US job seekers","Sept 2026","https://www.prnewswire.com/news-releases/icims-insights-workers-are-teaching-themselves-ai-skills-faster-than-employers-train-them-raising-stakes-for-ai-powered-recruiting-and-screening-302874634.html"
"Demand","4%","of total US hiring demand is for AI-specific roles, a reminder that AI fluency demand is far broader than AI jobs.","iCIMS Insights, with Lightcast data","691m candidate profiles","Sept 2026","https://www.prnewswire.com/news-releases/icims-insights-workers-are-teaching-themselves-ai-skills-faster-than-employers-train-them-raising-stakes-for-ai-powered-recruiting-and-screening-302874634.html"
"Demand","95%","of organisations list AI fluency as a hiring requirement.","TestGorilla, State of Hiring for AI Fluency 2026","n=1,928 senior hiring leaders","2026","https://www.testgorilla.com/talent-discovery/state-hiring-ai-fluency/"
"Measurement gap","54%","of employers cannot define AI fluency consistently across technical and non-technical roles.","TestGorilla, State of Hiring for AI Fluency 2026","n=1,928 senior hiring leaders","2026","https://www.testgorilla.com/talent-discovery/state-hiring-ai-fluency/"
"Measurement gap","37%","of employers set the minimum AI competency bar at tool awareness alone. In the US the figure is 45%.","TestGorilla, State of Hiring for AI Fluency 2026","n=1,928 senior hiring leaders","2026","https://www.testgorilla.com/talent-discovery/state-hiring-ai-fluency/"
"Measurement gap","31%","of hiring managers say they cannot reliably tell a candidate with real AI understanding from one who has learned the correct vocabulary.","TestGorilla, State of Hiring for AI Fluency 2026","n=1,928 senior hiring leaders","2026","https://www.testgorilla.com/talent-discovery/state-hiring-ai-fluency/"
"Measurement gap","19%","of organisations leave AI fluency assessment entirely to the discretion of individual hiring managers.","TestGorilla, State of Hiring for AI Fluency 2026","n=1,928 senior hiring leaders","2026","https://www.testgorilla.com/talent-discovery/state-hiring-ai-fluency/"
"Measurement gap","59%","of organisations report having made a bad AI hire in the previous year.","TestGorilla, State of Hiring for AI Fluency 2026","n=1,928 senior hiring leaders","2026","https://www.testgorilla.com/talent-discovery/state-hiring-ai-fluency/"
"Measurement gap","53%","of hiring managers would now prefer a candidate with high AI fluency over one with deep domain expertise.","TestGorilla, State of Hiring for AI Fluency 2026","n=1,928 senior hiring leaders","2026","https://www.testgorilla.com/talent-discovery/state-hiring-ai-fluency/"
"Measurement gap","33% / 13%","of US organisations report frequent AI-driven errors, against 13% in the UK, a gap wide enough to suggest different assessment norms rather than different talent.","TestGorilla, State of Hiring for AI Fluency 2026","n=1,928 senior hiring leaders","2026","https://www.testgorilla.com/talent-discovery/state-hiring-ai-fluency/"
"Measurement gap","1 in 4","employers actually test for AI fluency, despite the great majority requiring it in postings.","Joberney, reading TestGorilla 2026 data","Secondary analysis","2026","https://joberney.com/blog/what-is-ai-fluency"
"Measurement gap","40%","of IT leaders say skills development tracking in their organisation is fragmented, making verified skill levels hard to establish.","IDC Analyst Brief, via Workera","Sample not disclosed","2026","https://www.workera.ai/guides-reports/the-5-5-trillion-skills-gap-what-idcs-new-report-reveals-about-ai-workforce-readiness"
"Measurement gap","11 behaviours","make up the only large-scale observational measure of AI fluency published to date, drawn from 9,830 anonymised Claude conversations against a 4D framework.","Anthropic, The AI Fluency Index","n=9,830 conversations","Jan 2026","https://academy.claude.com/tutorials/the-ai-fluency-index"
"Capability","61%","of job seekers limit their AI proficiency to general tools like ChatGPT, Copilot or Gemini.","iCIMS Insights","n=1,000 US job seekers","Sept 2026","https://www.prnewswire.com/news-releases/icims-insights-workers-are-teaching-themselves-ai-skills-faster-than-employers-train-them-raising-stakes-for-ai-powered-recruiting-and-screening-302874634.html"
"Capability","18% / 17%","of job seekers report prompt engineering skills and machine learning or model development skills respectively.","iCIMS Insights","n=1,000 US job seekers","Sept 2026","https://www.prnewswire.com/news-releases/icims-insights-workers-are-teaching-themselves-ai-skills-faster-than-employers-train-them-raising-stakes-for-ai-powered-recruiting-and-screening-302874634.html"
